serum,virus,titer,titer_bound,titer_sem,n_replicates,titer_as
D10378d182,A/Bangladesh/2221/2021,3818,interpolated,238.8,3,midpoint
D10378d182,A/Bangladesh/3210810034/2021,4401,interpolated,841.2,2,midpoint
D10378d182,A/Bangladesh/8002/2021,7657,interpolated,1663,3,midpoint
D10378d182,A/Bangladesh/8036/2021,5294,interpolated,180.3,3,midpoint
D10378d182,A/Belgium/H0017/2022,320.1,interpolated,47.97,3,midpoint
D10378d182,A/Belgium/H0038/2022,5661,interpolated,414.5,3,midpoint
D10378d182,A/Brisbane/02/2018,6864,interpolated,881.5,4,midpoint
D10378d182,A/Brisbane/48/2022,6062,interpolated,1593,3,midpoint
D10378d182,A/California/07/2009,1.426e+04,interpolated,2317,4,midpoint
D10378d182,A/Chester/5355/2022,5270,interpolated,673.2,3,midpoint
D10378d182,A/Cote_DIvoire/1448/2021,5668,interpolated,215.5,3,midpoint
D10378d182,A/England/220200318/2022,362.4,interpolated,60.38,3,midpoint
D10378d182,A/Ghana/138/2020,5351,interpolated,539.6,3,midpoint
D10378d182,A/Ghana/2080/2020,7771,interpolated,1076,3,midpoint
D10378d182,A/Hawaii/70/2019,5288,interpolated,701.6,4,midpoint
D10378d182,A/India-PUN-NIV328484/2021,7067,interpolated,1411,3,midpoint
D10378d182,A/India-Pune-Nivcov2221170/2022,4667,interpolated,981.3,2,midpoint
D10378d182,A/India/Pun-NIV312851/2021,5127,interpolated,356.1,3,midpoint
D10378d182,A/Michigan/19/2021,5287,interpolated,160.6,3,midpoint
D10378d182,A/Michigan/45/2015,1.332e+04,interpolated,4642,4,midpoint
D10378d182,A/Newcastle/2/2022,4925,interpolated,1300,3,midpoint
D10378d182,A/Niger/10217/2021,5435,interpolated,1185,3,midpoint
D10378d182,A/Nimes/871/2021,5476,interpolated,400.8,3,midpoint
D10378d182,A/Norway/25089/2022,5505,interpolated,1528,3,midpoint
D10378d182,A/Paris/30353/2021,5343,interpolated,101.6,3,midpoint
D10378d182,A/Paris/31196/2021,1.082e+04,interpolated,2159,3,midpoint
D10378d182,A/Perth/1/2022,5494,interpolated,478.6,3,midpoint
D10378d182,A/SouthAfrica/R14850/2021,5808,interpolated,692.5,3,midpoint
D10378d182,A/SouthAfrica/R16462/2021,7533,interpolated,3467,3,midpoint
D10378d182,A/Sydney/43/2022,4938,interpolated,133.4,3,midpoint
D10378d182,A/Togo/0274/2021,8048,interpolated,810,3,midpoint
D10378d182,A/Togo/0304/2021,5389,interpolated,141.1,3,midpoint
D10378d182,A/Togo/845/2020,5338,interpolated,196.1,3,midpoint
D10378d182,A/Utah/27/2022,4461,interpolated,1098,3,midpoint
D10378d182,A/Washington/23/2020,5655,interpolated,192.6,3,midpoint
D10378d182,A/Wisconsin/588/2019,5627,interpolated,1175,3,midpoint
